answertype
"a human body part"
"a city"
"yes or no"
"an artistic or creative work (for instance, a painting, a movie, a book, etc.)"
"an historical event"
"a cost or amount of money"
"a cost or amount of money"
"an artistic or creative work (for instance, a painting, a movie, a book, etc.)"
"a restaurant"
"a shop or retail store"
"a local attraction (for instance, a museum or a park)"
"a continent"
"a restaurant"
"a shop or retail store"
"a local attraction (for instance, a museum or a park)"
"a body of water (a lake, a sea, an ocean)"
"a weather condition (""What will the weather be like tomorrow?"")"
